date,floors,bedrooms,sqft_living,sqft_lot,sqft_basement,yr_built,condition ,grade,price
141022,1.5,4,2420,520,0,1900,0.5,0.5,700000
150107,2,3,1050,572,310,2006,0.5,0.5,250000
150122,2,2,1030,600,350,2004,0.5,0.583333333,367500
150422,3,2,2470,609,560,2011,0.5,0.833333333,1.23E+06
141215,2,2,1070,635,350,2008,0.5,0.666666667,256950
140627,3,1,1100,638,0,2014,0.5,0.666666667,516500
150319,2,2,1070,649,350,2008,0.5,0.666666667,259950
150305,2,2,1070,649,350,2008,0.5,0.666666667,259950
150303,3,3,1060,651,0,2007,0.5,0.5,405000
150407,2,1,1070,675,190,2007,0.5,0.583333333,420000
140806,2,2,950,676,100,2003,0.5,0.5,304000
140507,3,2,820,681,0,2006,0.5,0.583333333,339950
150223,2,3,1150,683,0,2013,0.5,0.5,335000
150212,2,2,1140,690,380,2014,0.5,0.583333333,570000
150409,3,2,1470,690,0,2008,0.5,0.583333333,650000
140905,2,2,860,696,0,2009,0.5,0.666666667,345000
150504,2,2,1150,698,0,2013,0.5,0.5,346100
150427,2,3,1150,700,350,2000,0.5,0.5,340000
140604,3,3,1540,704,0,2011,0.5,0.666666667,742000
150427,2,2,1240,705,90,2009,0.5,0.5,352499
141007,2,2,1240,705,90,2009,0.5,0.5,315000
141222,2,2,1150,711,0,2013,0.5,0.5,325000
150328,2,2,1150,711,0,2013,0.5,0.5,338500
140921,3,2,1490,713,0,2014,0.5,0.666666667,700000
150220,2,2,1240,720,90,2008,0.5,0.5,331000
141001,2,2,1440,725,340,2011,0.5,0.583333333,427000
141024,2.5,3,990,736,110,2009,0.5,0.583333333,384000
150220,2,2,1210,740,430,2014,0.5,0.583333333,610000
141117,3,4,1390,745,0,2008,0.5,0.5,288790
150223,3,4,1390,745,0,2008,0.5,0.5,302059
140707,2,2,1130,746,100,2009,0.5,0.583333333,536000
150109,2,2,870,747,70,2004,0.5,0.583333333,313000
140624,2,2,930,747,300,2007,0.5,0.583333333,355000
140623,2,3,1100,750,320,2008,0.5,0.5,286000
150329,2,2,1240,750,90,2008,0.5,0.5,334950
141016,2,2,1120,758,0,2012,0.5,0.5,305000
150313,3,2,1500,761,0,2008,0.5,0.583333333,670000
140731,2,3,1530,762,480,2007,0.5,0.583333333,450000
141117,2,2,680,772,0,2005,0.5,0.5,239000
150112,3,1,760,779,0,2006,0.5,0.583333333,344000
140708,2,2,1785,779,190,1975,0.5,0.5,530000
141111,2,2,1120,780,360,2004,0.5,0.583333333,380000
140815,2,3,1190,785,270,2014,0.5,0.583333333,277140
150312,3,2,1030,798,0,2008,0.5,0.583333333,326000
141230,2,3,1480,800,480,2014,0.5,0.583333333,469000
150106,2,3,1480,800,480,2014,0.5,0.583333333,459000
140730,2,3,1430,800,290,2011,0.5,0.583333333,384000
150423,3,2,1190,801,0,2010,0.5,0.583333333,300500
140722,3,2,1480,804,0,2008,0.5,0.583333333,459000
150414,3,2,1330,806,0,2009,0.5,0.583333333,527700
141008,2,2,1170,809,0,2007,0.5,0.666666667,482500
150506,3,3,1250,811,0,2014,0.5,0.583333333,419950
141111,2,3,1300,812,420,2008,0.5,0.583333333,329950
141001,3,3,1200,813,0,2010,0.5,0.666666667,412000
140725,2,3,1420,814,280,2008,0.5,0.583333333,451300
140716,3,3,1330,816,0,2004,0.5,0.583333333,375000
140811,2,2,1280,819,220,2006,0.5,0.583333333,319950
150411,3,3,1530,825,0,2015,0.5,0.583333333,500000
150220,3,2,1010,825,0,2007,0.5,0.5,286000
