date,floors ,bedrooms,sqft_living,sqft_lot,sqft_basement,yr_built,condition,grade,price
160505,2,4,7391,56628,4635,1995,0.666666667,1,2122450
161107,3,2,3231,80150,2931,1966,0.666666667,0.4,385000
161022,2,5,3980,16988,2356,2009,0.833333333,0.6,728000
161018,1.5,4,3557,876863,2050,2000,0.833333333,0.6,842500
160922,1.5,3,3485,170320,2753,2013,0.666666667,0.6,925000
160615,1,2,2020,12632,2020,1994,0.833333333,0.6,431000
160627,1,2,2447,20909,2396,2003,0.833333333,0.6,680000
161007,1,3,1189,13939,1189,2010,0.666666667,0.4,228000
160414,3,3,2792,12197,1482,1966,0.666666667,0.4,285000
160321,2,4,2284,8276,1002,2013,0.666666667,0.4,279900
161028,1.5,4,2820,10890,1238,1988,0.666666667,0.6,395000
161003,1.5,4,5785,23087,0,1998,0.666666667,0.8,900000
160519,1,3,1783,10890,1783,2015,0.666666667,0.4,421647
160613,2,2,1782,8276,1008,1982,0.666666667,0.4,220000
160920,1.5,4,4376,19602,2442,1992,0.666666667,0.8,825000
160328,2,4,2210,12197,1073,2002,0.666666667,0.4,291000
160522,1.5,4,2958,18295,2164,2003,0.833333333,0.6,730000
161208,1.5,3,2236,10454,1550,2004,0.666666667,0.4,345000
161215,2,4,2762,13939,1381,1996,0.666666667,0.6,375000
160727,2,3,2688,8276,1421,2006,0.666666667,0.4,360000
160606,1,3,1748,13504,1697,1997,0.666666667,0.4,272500
160425,1,1,2023,11326,1981,2006,0.666666667,0.6,388000
160902,1.5,5,4094,18295,1951,1986,0.666666667,0.6,465000
160126,1,3,2211,15682,1123,1980,0.666666667,0.6,307000
160921,1,3,1312,9583,1025,1964,0.833333333,0.4,182500
160808,1.5,3,1966,9583,1115,1978,0.833333333,0.4,297132
160831,2,3,1365,57064,675,1977,0.666666667,0.4,315000
161116,3,3,1196,9148,616,1976,0.666666667,0.4,203500
161109,2,4,2081,148104,897,1998,0.666666667,0.4,366000
160112,1,3,2202,12197,2169,2003,0.666666667,0.6,430000
160624,1,2,950,13939,950,1961,0.666666667,0.4,154000
160718,3,3,1194,6970,504,1978,0.666666667,0.4,171500
160531,1,2,1340,8712,0,1954,0.666666667,0.4,167000
161019,2,3,1622,10454,528,1977,0.666666667,0.4,169500
160628,1.5,4,3189,16117,2225,1997,0.666666667,0.6,425000
160908,1.5,3,2395,6098,0,1981,0.666666667,0.4,220000
160921,3,4,1744,8712,704,2004,0.666666667,0.4,272000
160205,1,3,2704,12197,0,1975,0.833333333,0.6,560000
160613,1.5,3,1767,9148,1011,1978,0.666666667,0.4,225000
160523,1,3,1850,9148,1845,2015,0.666666667,0.4,437265
160120,1.5,2,3502,26572,2597,2006,0.833333333,0.6,750000
160525,2,3,2564,218671,690,1978,0.666666667,0.4,370000
160926,1,3,1757,16553,1348,1953,0.833333333,0.4,325000
160406,3,3,1728,234353,1208,1979,0.666666667,0.4,337500
161024,2.5,4,5546,872942,2807,2008,0.666666667,0.8,1000000
161024,2.5,4,5546,872942,2807,2008,0.666666667,0.8,1000000
160226,1.5,5,3611,407722,2026,1983,0.666666667,0.6,575000
161221,2,3,2100,222156,1104,1978,0.666666667,0.4,347450
161001,1,3,1740,206039,1740,2004,0.666666667,0.2,353000
160430,1.5,3,2077,212573,1583,1987,0.833333333,0.6,490000
160831,1.5,3,1298,57935,546,1900,0.666666667,0.2,153500
160714,1,2,1656,170320,1608,1976,0.666666667,0.4,283000
161207,1,3,2742,191664,2485,1992,0.666666667,0.4,450000
160819,2,3,2082,131551,978,1990,0.666666667,0.4,353500
160513,1,3,1373,196456,1373,1964,0.666666667,0.4,325000
161209,1,2,1484,61420,1324,1971,0.666666667,0.4,295000
160504,1,3,1942,10019,1940,2010,0.666666667,0.4,520000
160121,1,2,1589,9583,1569,2011,0.666666667,0.4,362500
161116,2,4,2409,131987,1152,1994,0.833333333,0.4,425000
161118,1,3,1983,237838,1983,1991,0.833333333,0.4,523500
161213,1,3,2182,231739,2165,1991,0.666666667,0.6,438000
160128,1,3,2090,141570,2090,2015,0.666666667,0.4,425939
160219,2,4,1216,892980,0,1900,0.5,0.4,201000
160526,1,3,1591,290545,943,1967,0.833333333,0.4,325000
160705,3,2,1794,43124,1218,1960,0.5,0.4,222000
160113,1,3,1926,44431,1675,1974,0.666666667,0.4,225000
160322,1,3,1137,40511,1137,1920,0.666666667,0.4,179000
161121,2,4,2477,130680,0,1990,0.666666667,0.4,345000
161207,2,3,1638,141134,1548,1978,0.666666667,0.4,310000
160912,1.5,3,2836,195149,1196,1999,0.666666667,0.4,425000
160701,1,2,1680,183823,1680,1991,0.833333333,0.2,389000
161201,2,3,1148,162043,552,1968,0.666666667,0.4,255000
161007,RR,4,1756,227383,800,2000,0.666666667,0.4,317000
160304,2,3,1558,144184,780,1999,0.666666667,0.4,289900
160728,1,3,1632,148540,1632,1998,0.666666667,0.4,300000
161207,1,3,2319,119354,2319,1999,0.666666667,0.6,415000
161230,1,3,2635,131987,0,1998,0.5,0.4,210000
160706,3,3,1359,139828,1065,1998,0.666666667,0.4,349750
161013,1,4,1843,195584,0,1992,0.666666667,0,198000
160615,1,3,1850,181210,1850,1979,0.666666667,0.4,410000
160927,2,4,3455,832867,1593,1998,0.666666667,0.6,685000
160909,1,3,2392,568022,736,1974,0.666666667,0.4,405000
160721,1,3,1682,131116,1682,2005,0.666666667,0.4,375000
160728,1.5,3,2074,204732,650,1940,0.666666667,0.4,280000
161108,1,3,2616,402059,1620,2021,0.833333333,0.2,315000
161108,1,3,2616,402059,1620,2021,0.833333333,0.2,315000
161108,1,3,2616,402059,1620,2021,0.833333333,0.2,315000
161108,1,3,2616,402059,1620,2021,0.833333333,0.2,315000
161108,1,1,2616,402059,1620,1978,0.5,0.2,315000
161108,1,1,2616,402059,1620,1978,0.5,0.2,315000
161108,1,1,2616,402059,1620,1978,0.5,0.2,315000
161108,1,1,2616,402059,1620,1978,0.5,0.2,315000
161015,1,3,1539,130680,1539,2016,0.666666667,0.4,306320
160512,1,3,1557,131116,1557,2015,0.666666667,0.4,276565
160816,1,4,2230,140263,2326,1997,0.666666667,0.4,320000
160608,1.5,3,1752,74488,480,1950,0.666666667,0.4,235555
160427,2,3,2805,282269,1774,1994,0.666666667,0.6,705000
161025,1,3,1745,213880,1725,1994,0.666666667,0.4,387000
160301,3,3,1164,360677,1164,1972,0.666666667,0.4,315000
160112,3,3,1474,222156,1180,1974,0.666666667,0.4,238500
160112,3,3,1474,222156,1180,1974,0.666666667,0.4,238500
161212,2,2,2240,271814,1120,1920,0.5,0.4,200000
160502,2,5,5026,871636,2636,2004,0.666666667,0.8,775000
160907,1,1,960,178596,960,1960,0.5,0.4,145000
160524,1,3,1437,54450,1437,1972,0.666666667,0.4,208000
160525,1,2,808,232175,448,1940,0.666666667,0.2,182000
160711,1.5,3,1534,179032,1064,1916,0.5,0.4,180000
160616,2,3,1802,218236,1048,1989,0.666666667,0.4,315000
160601,1,3,1844,135472,1903,2015,0.666666667,0.4,438028
160721,1,3,2310,426888,1848,1993,0.666666667,0.4,290000
161101,1,3,1919,423403,1419,1973,0.833333333,0.4,270000
160912,1,3,1296,397703,0,1983,0.333333333,0.2,165000
160907,1,3,1771,158994,1770,2016,0.666666667,0.4,371628
160803,1,3,1891,226512,1800,1997,0.666666667,0.4,405000
160324,1,2,1376,130680,1352,2001,0.666666667,0.4,276500
160324,1,2,1376,130680,1352,2001,0.666666667,0.4,276500
160406,1.5,3,2478,232175,816,1973,0.666666667,0.4,339900
161108,1.5,3,2205,811523,1512,2005,0.666666667,0.6,492000
160706,1.5,3,3152,414256,1752,1999,0.666666667,0.4,469900
160914,1,3,1716,426017,1694,1997,0.666666667,0.4,400000
160713,1,1,1551,135036,1535,1999,0.666666667,0.4,340000
160705,1,3,1604,133294,1604,1999,0.666666667,0.4,328000
160726,1,3,1662,175111,1662,2010,0.666666667,0.4,375000
160921,1,3,1734,44867,1734,2006,0.666666667,0.4,330000
160525,1,2,1644,44867,1644,2002,0.666666667,0.4,318500
160620,1,2,1613,53143,1590,2000,0.666666667,0.4,350000
160720,2,3,2157,42689,1061,2011,0.666666667,0.4,292500
161223,2,5,2460,131987,1230,2016,0.666666667,0.4,380000
160608,1,2,1588,140263,1588,2016,0.666666667,0.4,310859
160729,1,3,1318,162043,1307,2016,0.666666667,0.4,281539
161129,1,3,1528,130680,1528,2016,0.666666667,0.4,326485
160217,1,2,1624,30928,1624,2015,0.666666667,0.4,412316
161109,1,3,1980,37026,1971,2016,0.666666667,0.4,425741
160414,1,2,1670,30056,1670,2015,0.666666667,0.4,350000
160705,1,2,1797,586753,1500,1963,0.666666667,0.4,465000
161219,1,3,1910,84942,1334,1974,0.666666667,0.4,257000
160126,1.5,3,1430,221285,768,1925,0.5,0.4,190000
160223,1,2,936,204296,936,1970,0.666666667,0.4,225000
160105,1,3,1352,217800,1350,1990,0.666666667,0.2,205000
161014,1,3,1950,148540,1950,2004,0.666666667,0.4,410000
160601,1.5,3,1680,227819,0,1900,0.666666667,0.4,216500
160930,1.5,6,2200,187744,1196,1900,0.833333333,0.4,355000
161117,1.5,2,2480,421661,0,1982,0.666666667,0.4,337000
160104,3,3,1792,80586,1216,1976,0.666666667,0.4,265000
160804,1.5,4,2074,80150,0,1850,0.5,0.4,189000
160219,3,3,1384,196891,1104,1979,0.666666667,0.4,279900
160515,1,3,1323,513137,1323,1979,0.666666667,0.4,315000
160427,1,3,1454,132422,1454,2015,0.666666667,0.4,253000
161031,1,3,1440,341075,1440,1991,0.666666667,0.4,290000
160525,2,3,1182,229561,650,1980,0.666666667,0.4,231000
160912,2,3,1982,130680,1106,1999,0.666666667,0.4,349900
161003,1,3,1808,182081,1808,2003,0.666666667,0.4,310000
161122,2,3,2891,154202,1102,2016,0.666666667,0.4,325000
160302,1,3,1434,176854,1420,2003,0.666666667,0.4,291000
160401,1,3,1620,131551,1620,1960,0.833333333,0.4,234000
160413,1,2,1546,270072,1546,2015,0.666666667,0.4,359607
160711,1,3,1438,228254,1438,2015,0.666666667,0.4,263165
161007,1,2,936,10019,0,1953,0.666666667,0.2,121050
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160407,1,3,1617,107593,1608,2004,0.666666667,0.4,275000
160511,2,3,1048,11326,528,1979,0.666666667,0.4,149500
161122,2,3,1032,10890,528,1992,0.666666667,0.4,141000
160810,2,3,900,9583,572,1980,0.666666667,0.4,140000
161228,2,3,900,9583,572,1980,0.666666667,0.4,140000
161021,1,3,960,10890,0,1982,0.5,0.4,85000
161207,1,3,999,9148,999,1969,0.5,0.2,132000
160927,2,2,892,12197,816,1966,0.833333333,0.4,172000
161019,2,2,892,9583,812,1965,0.666666667,0.2,122000
160826,1,2,902,8276,864,1966,0.666666667,0.2,113000
160105,2,3,994,8712,960,1967,0.666666667,0.4,126000
160829,1,3,999,9148,999,1972,0.666666667,0.2,125000
160416,2,3,1126,10454,528,1996,0.666666667,0.4,146500
160711,1,3,1292,9148,1246,1999,0.666666667,0.4,164000
160927,3,3,1566,11761,576,1997,0.666666667,0.4,190000
161205,1,3,1524,12197,1444,1998,0.666666667,0.4,200000
161205,1,3,1524,12197,1444,1998,0.666666667,0.4,200000
160421,1,2,875,15682,875,1950,0.666666667,0.2,120500
160719,1.5,4,1802,37026,840,1921,0.666666667,0.4,165000
160603,1,2,1120,10890,1120,1956,0.5,0.2,98000
